"Sample_ID","Plant_ID","Flower_ID","Treatment","Flower_Age","Buzz_number","Sex","Inflorescence","Date","Species","Accession","pollen_rem_a","pollen_rem_b","pollen_rem_c","pollen_rem_d","pollen_rem_est","newflowerid"
"c096","F1-sys-3-2","2DA","Joined",2,2,"hermaphrodite",3,"29/05/2021","S. sisymbriifolium","F1-sys-3",1196,1151,1201,1138,23430,"F1-sys-3-2.2DA.29/05/2021"
"c097","1180M-15","2DB","Free",2,1,"hermaphrodite",1,"30/05/2021","S. sisymbriifolium","1180M",117,104,135,113,2345,"1180M-15.2DB.30/05/2021"
"c098","1180M-12","2DA","Free",2,1,"hermaphrodite",2,"30/05/2021","S. sisymbriifolium","1180M",359,385,393,427,7820,"1180M-12.2DA.30/05/2021"
"c099","F1-sys-3-2","2DA","Free",2,1,"hermaphrodite",2,"30/05/2021","S. sisymbriifolium","F1-sys-3",534,577,575,444,10650,"F1-sys-3-2.2DA.30/05/2021"
"c100","1180M-14","2DA","Free",2,1,"staminate",2,"30/05/2021","S. sisymbriifolium","1180M",155,146,127,180,3040,"1180M-14.2DA.30/05/2021"
"c101","1180M-14","2DB","Free",2,1,"staminate",2,"30/05/2021","S. sisymbriifolium","1180M",619,790,666,350,12125,"1180M-14.2DB.30/05/2021"
"c102","1180M-15","2DA","Joined",2,1,"hermaphrodite",1,"30/05/2021","S. sisymbriifolium","1180M",1181,1124,1080,919,21520,"1180M-15.2DA.30/05/2021"
"c103","1180M-15","2DA","Free",2,2,"hermaphrodite",1,"30/05/2021","S. sisymbriifolium","1180M",213,152,187,163,3575,"1180M-15.2DA.30/05/2021"
"c104","1180M-15","2DB","Joined",2,2,"hermaphrodite",1,"30/05/2021","S. sisymbriifolium","1180M",166,138,206,165,3375,"1180M-15.2DB.30/05/2021"
"c105","1180M-12","2DA","Joined",2,2,"hermaphrodite",2,"30/05/2021","S. sisymbriifolium","1180M",465,394,457,404,8600,"1180M-12.2DA.30/05/2021"
"c106","F1-sys-3-2","2DA","Joined",2,2,"hermaphrodite",2,"30/05/2021","S. sisymbriifolium","F1-sys-3",474,533,484,460,9755,"F1-sys-3-2.2DA.30/05/2021"
"c107","1180M-14","2DA","Joined",2,2,"staminate",2,"30/05/2021","S. sisymbriifolium","1180M",684,796,728,733,14705,"1180M-14.2DA.30/05/2021"
"c108","1180M-14","2DB","Joined",2,2,"staminate",2,"30/05/2021","S. sisymbriifolium","1180M",697,767,715,806,14925,"1180M-14.2DB.30/05/2021"
"e001","10QSJ12-5","2DA","Joined",2,1,"hermaphrodite",1,"29/05/2021","S. elaeagnifolium","10-QSJ-12",2299,2200,2166,2174,44195,"10QSJ12-5.2DA.29/05/2021"
"e002","10QSJ12-5","2DA","Free",2,2,"hermaphrodite",1,"29/05/2021","S. elaeagnifolium","10-QSJ-12",984,954,1088,923,19745,"10QSJ12-5.2DA.29/05/2021"
"e003","10QSJ12-5","2DB","Free",2,1,"hermaphrodite",1,"31/05/2021","S. elaeagnifolium","10-QSJ-12",243,273,270,262,5240,"10QSJ12-5.2DB.31/05/2021"
"e004","10QSJ12-5","1DB","Free",1,1,"hermaphrodite",2,"31/05/2021","S. elaeagnifolium","10-QSJ-12",138,133,151,155,2885,"10QSJ12-5.1DB.31/05/2021"
"e005","10QSJ12-5","1DB","Joined",1,2,"hermaphrodite",2,"31/05/2021","S. elaeagnifolium","10-QSJ-12",298,310,283,293,5920,"10QSJ12-5.1DB.31/05/2021"
"e006","10QSJ12-5","1DC","Joined",1,1,"hermaphrodite",3,"31/05/2021","S. elaeagnifolium","10-QSJ-12",391,385,404,421,8005,"10QSJ12-5.1DC.31/05/2021"
"e007","10QSJ12-5","1DC","Free",1,2,"hermaphrodite",3,"31/05/2021","S. elaeagnifolium","10-QSJ-12",281,329,293,302,6025,"10QSJ12-5.1DC.31/05/2021"
"e008","10QSJ12-5","2DA","Joined",2,1,"hermaphrodite",1,"31/05/2021","S. elaeagnifolium","10-QSJ-12",1716,1994,1799,1509,35090,"10QSJ12-5.2DA.31/05/2021"
"e009","10QSJ12-5","2DA","Free",2,2,"hermaphrodite",1,"31/05/2021","S. elaeagnifolium","10-QSJ-12",411,393,427,355,7930,"10QSJ12-5.2DA.31/05/2021"
"e010","10QSJ12-5","2DB","Joined",2,2,"hermaphrodite",1,"31/05/2021","S. elaeagnifolium","10-QSJ-12",481,386,404,321,7960,"10QSJ12-5.2DB.31/05/2021"
"e011","10QSJ12-5","2DA","Free",2,1,"hermaphrodite",1,"02/06/2021","S. elaeagnifolium","10-QSJ-12",1033,897,793,755,17390,"10QSJ12-5.2DA.02/06/2021"
"e012","10QSJ12-5","1DA","Free",1,1,"hermaphrodite",1,"02/06/2021","S. elaeagnifolium","10-QSJ-12",157,152,132,149,2950,"10QSJ12-5.1DA.02/06/2021"
"e013","10QSJ12-5","2DA","Free",2,1,"hermaphrodite",2,"02/06/2021","S. elaeagnifolium","10-QSJ-12",613,556,598,587,11770,"10QSJ12-5.2DA.02/06/2021"
"e014","10QSJ12-5","1DA","Joined",1,1,"hermaphrodite",3,"02/06/2021","S. elaeagnifolium","10-QSJ-12",425,467,450,418,8800,"10QSJ12-5.1DA.02/06/2021"
"e015","10QSJ12-5","1DA","Free",1,2,"hermaphrodite",3,"02/06/2021","S. elaeagnifolium","10-QSJ-12",143,169,138,133,2915,"10QSJ12-5.1DA.02/06/2021"
"e016","10QSJ12-5","1DB","Free",1,1,"hermaphrodite",3,"02/06/2021","S. elaeagnifolium","10-QSJ-12",175,200,163,207,3725,"10QSJ12-5.1DB.02/06/2021"
"e017","10QSJ12-5","2DA","Joined",2,2,"hermaphrodite",1,"02/06/2021","S. elaeagnifolium","10-QSJ-12",1154,1088,1010,899,20755,"10QSJ12-5.2DA.02/06/2021"
"e018","10QSJ12-5","1DA","Joined",1,2,"hermaphrodite",1,"02/06/2021","S. elaeagnifolium","10-QSJ-12",256,287,304,347,5970,"10QSJ12-5.1DA.02/06/2021"
"e019","10QSJ12-5","2DA","Joined",2,2,"hermaphrodite",2,"02/06/2021","S. elaeagnifolium","10-QSJ-12",490,682,593,612,11885,"10QSJ12-5.2DA.02/06/2021"
"e020","10QSJ12-5","1DB","Joined",1,2,"hermaphrodite",3,"02/06/2021","S. elaeagnifolium","10-QSJ-12",556,624,610,567,11785,"10QSJ12-5.1DB.02/06/2021"
"e021","10QSJ12-5","1DA","Joined",1,1,"hermaphrodite",1,"04/06/2021","S. elaeagnifolium","10-QSJ-12",478,528,532,478,10080,"10QSJ12-5.1DA.04/06/2021"
"e022","10QSJ12-5","1DA","Free",1,2,"hermaphrodite",1,"04/06/2021","S. elaeagnifolium","10-QSJ-12",297,326,362,326,6555,"10QSJ12-5.1DA.04/06/2021"
"e023","10QSJ12-5","2DA","Joined",2,1,"hermaphrodite",2,"04/06/2021","S. elaeagnifolium","10-QSJ-12",1261,1345,1460,1358,27120,"10QSJ12-5.2DA.04/06/2021"
"e024","10QSJ12-5","2DA","Free",2,2,"hermaphrodite",2,"04/06/2021","S. elaeagnifolium","10-QSJ-12",341,440,375,372,7640,"10QSJ12-5.2DA.04/06/2021"
"e025","10QSJ12-5","1DA","Joined",1,1,"hermaphrodite",2,"04/06/2021","S. elaeagnifolium","10-QSJ-12",1437,1292,1593,1285,28035,"10QSJ12-5.1DA.04/06/2021"
