"web","plant","tip_name","symmetry","PC1","PC2","PC3","PC4","n.poll","n.shared","mn.n.shared","md.n.shared","n.shared.a","n.shared.z","mn.n.shared.a","mn.n.shared.z","md.n.shared.a","md.n.shared.z","Latitude","lat.x","lat.sc","pc1.sc","pc2.sc","rel.mn.n.shared","rel.mn.n.shared.a","rel.mn.n.shared.z"
"M_PL_041","Coccoloba sp1 M_PL_041","Coccoloba","Actinomorphic",2.93696474580114,-4.16125934829721,2.31443044396186,11.9745496633791,1,1,0.166666666666667,0,0,0,0.130434782608696,0.333333333333333,0,0,15.518889,3.93940211199618,-0.610758759059184,0.0941708125405978,-0.178154499721578,0.166666666666667,0.130434782608696,0.333333333333333
"M_PL_041","Desmodium adscendens","Desmodium_adscendens","Zygomorphic",8.42160411468212,-39.1640587185613,-2.39923271150307,-24.9289660173097,1,1,0.166666666666667,0,0,0,0.166666666666667,0,0,0,15.518889,3.93940211199618,-0.610758759059184,0.270030242449684,-1.67671675905682,0.166666666666667,0.166666666666667,0
"M_PL_041","Oxalis barrelieri","Oxalis_barrelieri","Actinomorphic",9.56734861701558,-27.7819698732037,-0.983723803388578,-1.10971172051198,1,0,0,0,0,0,0,0,0,0,15.518889,3.93940211199618,-0.610758759059184,0.306767384392882,-1.18941948332682,0,0,0
"M_PL_041","Oxalis frutescens","Oxalis_frutescens","Actinomorphic",9.56734861701558,-27.7819698732037,-0.983723803388578,-1.10971172051198,1,1,0.433333333333333,0,0,0,0.434782608695652,0.5,0,0.5,15.518889,3.93940211199618,-0.610758759059184,0.306767384392882,-1.18941948332682,0.433333333333333,0.434782608695652,0.5
"M_PL_041","Stigmaphyllon diversifolium","Stigmaphyllon_diversifolium","Actinomorphic",8.48289829538726,-32.2521627507928,-1.30705561616103,-2.47192997137111,1,1,0.133333333333333,0,0,0,0.173913043478261,0,0,0,15.518889,3.93940211199618,-0.610758759059184,0.271995578536631,-1.38080024311813,0.133333333333333,0.173913043478261,0
"M_PL_043","Tripleurospermum inodorum","Tripleurospermum_inodorum","Actinomorphic",-33.5732407482771,18.1985597210339,-25.8496681811875,-1.70217493292939,31,26,4.14814814814815,4,24,7,4.19047619047619,4,4,3.5,56.238737,7.49924909574285,1.2702676356796,-1.07649210478485,0.779128391524249,0.133811230585424,0.135176651305684,0.129032258064516
"M_PL_043","Tanacetum vulgare","Tanacetum_vulgare","Actinomorphic",-33.5732260341795,18.1985527101933,-25.8496477503535,-1.7021717763173,17,15,2.77777777777778,3,14,6,2.66666666666667,3.16666666666667,3,2.5,56.238737,7.49924909574285,1.2702676356796,-1.07649163299215,0.779128091371652,0.163398692810458,0.156862745098039,0.186274509803922
"M_PL_043","Melilotus albus","Melilotus_albus","Zygomorphic",8.3705834307926,-39.4943295841913,-2.43517321696299,-25.4679112547362,15,13,2.85185185185185,2,13,6,2.95454545454545,2.4,2,2,56.238737,7.49924909574285,1.2702676356796,0.268394315676943,-1.69085652683241,0.190123456790123,0.196969696969697,0.16
"M_PL_043","Trifolium repens","Trifolium_repens","Zygomorphic",8.36896365466957,-39.5042717313036,-2.43623485601922,-25.48361120708,15,10,2.18518518518519,2,9,9,1.95454545454545,3.2,2,3,56.238737,7.49924909574285,1.2702676356796,0.26834237918916,-1.69128217640065,0.145679012345679,0.13030303030303,0.213333333333333
"M_PL_043","Achillea millefolium","Achillea_millefolium","Actinomorphic",-33.5732618936103,18.1985730219002,-25.8497012090485,-1.70217930156942,14,13,2.55555555555556,2,13,5,2.52380952380952,2.66666666666667,2,3,56.238737,7.49924909574285,1.2702676356796,-1.07649278278863,0.779128960969453,0.182539682539683,0.180272108843537,0.190476190476191
"M_PL_043","Cirsium vulgare","Cirsium_vulgare","Actinomorphic",-32.8905472839845,17.8106238384458,-24.8246767852891,-1.55814168370069,14,10,2.18518518518519,2,10,4,2.14285714285714,2.33333333333333,2,2.5,56.238737,7.49924909574285,1.2702676356796,-1.05460222737297,0.762519832119074,0.156084656084656,0.153061224489796,0.166666666666666
"M_PL_043","Senecio jacobea","Senecio_jacobaea","Actinomorphic",-33.5927351895814,18.2095794647601,-25.8786235005875,-1.70625536669384,14,14,2.48148148148148,2,13,3,2.66666666666667,1.83333333333333,2,1.5,56.238737,7.49924909574285,1.2702676356796,-1.07711717438443,0.779600175848724,0.177248677248677,0.190476190476191,0.130952380952381
"M_PL_043","Silene dioica","Silene_dioica","Actinomorphic",1.53697525096345,-4.77990094341611,2.70478460980372,14.9840369940604,14,13,2.77777777777778,3,13,5,2.80952380952381,2.66666666666667,3,2.5,56.238737,7.49924909574285,1.2702676356796,0.049281561327879,-0.204640179815145,0.198412698412699,0.200680272108844,0.190476190476191
"M_PL_043","Vicia hirsuta","Vicia_hirsuta","Zygomorphic",8.36474016331898,-39.530255739633,-2.43901174041134,-25.5247010668105,11,10,1.18518518518519,1,6,6,1.04545454545455,1.8,0.5,2,56.238737,7.49924909574285,1.2702676356796,0.268206957198545,-1.69239462040311,0.107744107744108,0.09504132231405,0.163636363636364
"M_PL_043","Cirsium arvense","Cirsium_arvense","Actinomorphic",-32.8905472839845,17.8106238384458,-24.8246767852891,-1.55814168370069,10,8,2.07407407407407,2,8,3,2.19047619047619,1.66666666666667,2,1.5,56.238737,7.49924909574285,1.2702676356796,-1.05460222737297,0.762519832119074,0.207407407407407,0.219047619047619,0.166666666666667
"M_PL_043","Chaerophyllum temulentum","Chaerophyllum_temulentum","Actinomorphic",-24.4688382756347,12.4413553997573,-8.35290521008365,0.737812141487517,9,7,1.96296296296296,2,7,3,2.0952380952381,1.5,2,1.5,56.238737,7.49924909574285,1.2702676356796,-0.784568621613621,0.532647273717534,0.218106995884773,0.232804232804233,0.166666666666667
"M_PL_043","Myosotis palustris","Myosotis_palustris","Actinomorphic",-24.8617269649172,12.106504245881,17.3303650888361,-1.45495412843382,9,7,1.07407407407407,1,7,2,1,1.33333333333333,1,1,56.238737,7.49924909574285,1.2702676356796,-0.797166201193233,0.518311411708732,0.119341563786008,0.111111111111111,0.148148148148148
